"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"Indian Summer",2019-04-23,"Comedy","R",14717851,29968953
"Super Mario Bros.",2019-05-28,"Action","PG",20844907,42445058
"Guilty as Sin",2019-06-04,"Thriller/Suspense","R",22622537,46064723
"Life With Mikey",2019-06-04,"Comedy","PG",12349549,25146538
"What's Love Got to Do With It",2019-06-09,"Drama","R",39100956,79618610
"Son in Law",2019-07-02,"Comedy","PG-13",25989889,52921433
"Hocus Pocus",2019-07-16,"Comedy","PG",39360491,80147079
"Another Stakeout",2019-07-23,"Comedy","PG-13",20107504,40943541
"My Boyfriend's Back",2019-08-06,NA,"PG-13",3218882,6554384
"Father Hood",2019-08-27,NA,"PG-13",3268203,6654819
"The Joy Luck Club",2019-09-08,"Drama","R",32790064,66768171
"Money for Nothing",2019-09-10,"Comedy","R",1044824,2127496
"The Program",2019-09-24,"Action","R",23042200,46919256
"Cool Runnings",2019-10-01,"Comedy","PG",68856263,140392731
"The Nightmare Before Christmas",2019-10-13,"Musical","PG",50408318,100026637
"The Three Musketeers",2019-11-12,"Adventure","PG",53661805,109310377
"Sister Act 2 Back in the Habit",2019-12-10,"Comedy","PG",57319029,116965668
"Tombstone",2019-12-25,"Western","R",56505065,115781734
"The Air Up There",2019-01-07,"Comedy","PG",20782439,42940186
"Cabin Boy",2019-01-07,"Comedy","PG-13",3469493,7168577
"Iron Will",2019-01-14,"Drama","PG",20623071,42610902
"Red Rock West",2019-01-28,NA,"R",2502551,5170709
"Blank Check",2019-02-11,"Comedy","PG",30573770,63170804
"Angie",2019-03-04,"Comedy","R",9252349,19116981
"The Ref",2019-03-09,"Comedy","R",11325885,23401275
"D2: The Mighty Ducks",2019-03-25,"Comedy","PG",45604206,94226333
"Holy Matrimony",2019-04-08,"Comedy",NA,713234,1473665
"White Fang 2: Myth of the White Wolf",2019-04-15,"Adventure","PG",8752399,18083994
"The Inkwell",2019-04-22,"Comedy","R",8864699,18316030
"When a Man Loves a Woman",2019-04-29,"Drama","R",50021959,103354194
"3 Ninjas Kick Back",2019-05-06,"Action","PG",11744960,24267154
"Renaissance Man",2019-06-03,"Comedy","PG-13",24172899,49945474
"The Lion King",2019-06-15,"Adventure","G",422780140,761640898
"I Love Trouble",2019-06-29,"Romantic Comedy","PG",30806194,63651027
"Angels in the Outfield",2019-07-15,"Comedy","PG",50236831,103798152
"In the Army Now",2019-08-12,"Comedy","PG",28881266,59673787
"Color of Night",2019-08-19,"Thriller/Suspense","R",19750470,40804816
"Camp Nowhere",2019-08-26,"Comedy","PG",10442641,21576332
"It's Pat",2019-08-26,"Comedy",NA,60822,125666
"A Simple Twist of Fate",2019-09-02,"Drama","PG-13",3404935,7035189
"Quiz Show",2019-09-14,"Drama","PG-13",24787282,50840394
"Terminal Velocity",2019-09-23,"Action","PG-13",16478900,34048315
"Ed Wood",2019-09-30,"Comedy","R",5828466,12042634
"The Puppet Masters",2019-10-21,"Horror","R",8579626,17727017
"Squanto: A Warrior's Tale",2019-10-28,"Drama","PG",3319344,6858345
"The Santa Clause",2019-11-11,"Comedy","PG",144833357,298369717
"A Low Down Dirty Shame",2019-11-23,"Action","R",29317886,60321919
"The Jungle Book",2019-12-25,"Adventure","PG",44342956,88930321
"Houseguest",2019-01-06,"Comedy","PG",26325256,51016522
"Bad Company",2019-01-20,"Thriller/Suspense","R",3523909,6829092
"Miami Rhapsody",2019-01-27,"Romantic Comedy","PG-13",5086578,9857435
"The Jerky Boys",2019-02-03,"Comedy","R",7555256,14641561
"Heavy Weights",2019-02-17,"Comedy","PG",17671310,34245779
"Man of the House",2019-03-03,"Comedy","PG",40029009,77573459
"Roommates",2019-03-03,"Comedy","PG",12076989,23404369
"Tall Tale",2019-03-24,"Western","PG",8247627,15983331
"A Pyromaniac's Love Story",2019-03-28,"Romantic Comedy","PG",468240,907414
"Jefferson in Paris",2019-03-31,"Drama","PG-13",2461628,4770461
"Funny Bones",2019-03-31,"Comedy","R",529135,1025425
"A Goofy Movie",2019-04-07,"Comedy","G",35336439,68479579
"While You Were Sleeping",2019-04-21,"Romantic Comedy","PG",81057016,157082900
"Crimson Tide",2019-05-12,"Action","R",91387195,177102077
"Mad Love",2019-05-26,"Drama","PG-13",15446532,29934306
"Pocahontas",2019-06-10,"Adventure","G",141579773,274370957
"Judge Dredd",2019-06-30,"Action","R",34687912,67222776
"Operation Dumbo Drop",2019-07-28,"Adventure","PG",24670346,47809421
"Dangerous Minds",2019-08-11,"Drama","R",84919401,164552293
"A Kid in King Arthur's Court",2019-08-11,"Adventure","PG",13406717,25981285
"The Tie That Binds",2019-09-08,"Thriller/Suspense","R",5762795,11167895
"Unstrung Heroes",2019-09-15,"Drama","PG",7929000,15365850
"The Big Green",2019-09-29,"Comedy","PG",17736619,34372339
"Dead Presidents",2019-10-04,"Drama","R",24120194,46741467
"The Scarlet Letter",2019-10-13,"Drama","R",10359006,20075033
"Feast of July",2019-10-13,"Drama","R",293274,568342
"Powder",2019-10-27,"Drama","PG-13",30833914,59727216
"Toy Story",2019-11-22,"Adventure","G",191796233,370409631
"Father of the Bride Part II",2019-12-08,"Comedy","PG",76578911,147658438
"Nixon",2019-12-20,"Drama","R",13668249,26302005
"Tom and Huck",2019-12-22,"Adventure","PG",23837227,45911517
"Mr. Holland's Opus",2019-12-29,"Drama","PG",82582604,157508868
"White Squall",2019-02-02,"Adventure","PG-13",10229300,19509726
"Muppet Treasure Island",2019-02-16,"Adventure","G",34327391,65470567
"Mr. Wrong",2019-02-16,"Romantic Comedy","PG-13",12805071,24422334
"Before and After",2019-02-23,"Drama","PG-13",8642118,16482589
"Up Close & Personal",2019-03-01,"Drama","PG-13",51045801,97356578
"Homeward Bound II: Lost in San Franc…",2019-03-08,"Adventure","G",32709423,62384706
"Two Much",2019-03-15,"Romantic Comedy","PG-13",1078555,2057055
"Un indien dans la ville",2019-03-22,"Comedy","PG",1029731,1963937
"James and the Giant Peach",2019-04-12,"Adventure","PG",28921264,55159783
"Celtic Pride",2019-04-19,"Comedy","PG-13",9240378,17623615
"Last Dance",2019-05-03,"Drama","R",5857534,11171714
"Boys",2019-05-10,"Drama","PG-13",21930418,41826566
"Spy Hard",2019-05-24,"Comedy","PG-13",26936265,51373912
"Eddie",2019-05-31,"Comedy","PG-13",31369401,59828966
"The Rock",2019-06-07,"Action","R",134069511,255702705
"The Hunchback of Notre Dame",2019-06-21,"Adventure","G",100138851,190988799
"Phenomenon",2019-07-05,"Drama","PG",104636382,199559799
"Kazaam",2019-07-17,"Comedy","PG",18880508,36009655
"Jack",2019-08-09,"Drama","PG-13",58617334,111792852
"First Kid",2019-08-30,"Comedy","PG",26465920,50465108
"The Rich Man's Wife",2019-09-13,"Thriller/Suspense","R",8538318,16284619
"D3: The Mighty Ducks",2019-10-04,"Comedy","PG",22936273,43713554
"The Associate",2019-10-25,"Comedy","PG-13",12772657,24333094
"Ransom",2019-11-08,"Action","R",136492681,259807820
"The War at Home",2019-11-20,NA,"R",34368,65543
"101 Dalmatians",2019-11-27,"Comedy","G",136189294,258728898
"The Preacher's Wife",2019-12-13,"Drama","PG",48102795,91076877
"Evita",2019-12-25,"Musical","PG",50047179,92077628
"Metro",2019-01-17,"Action","R",32017895,58804106
